ID,2007NA1,2007NA2,2007NA3,2007NA4,2007NA5,2007NAK,2008NA1,2008NA2,2008NA3,2008NA4,2008NA5,2008NAK,2009NA1,2009NA2,2009NA3,2009NA4,2009NA5,2009NAK,2010NA1,2010NA2,2010NA3,2010NA4,2010NA5,2010NAK,High,Medium,Low,E07NA1,E07NA2,E07NA3,E07NA4,E07NA5,E07NAK,E08NA1,E08NA2,E08NA3,E08NA4,E08NA5,E08NAK,E09NA1,E09NA2,E09NA3,E09NA4,E09NA5,E09NAK,E10NA1,E10NA2,E10NA3,E10NA4,E10NA5,E10NAK
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,14.38,14.38,14.38,14.38,14.38,0.00,14.87,14.87,14.87,14.87,14.87,0.00,16.16,16.16,16.16,16.16,16.16,0.00,13.51,13.51,13.51,13.51,13.51,0.00
2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,21.89,21.89,21.89,21.89,21.89,0.00,21.99,21.99,21.99,21.99,21.99,0.00,20.52,20.52,20.52,20.52,20.52,0.00,20.79,20.79,20.79,20.79,20.79,0.00
3,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,0,22.02,22.02,22.02,22.02,22.02,0.00,22.11,22.11,22.11,22.11,22.11,0.00,20.52,20.52,20.52,20.52,20.52,0.00,20.88,20.88,20.88,20.88,20.88,0.00
4,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,21.37,21.37,21.37,21.37,21.37,0.00,21.46,21.46,21.46,21.46,21.46,0.00,19.67,19.67,19.67,19.67,19.67,0.00,19.86,19.86,19.86,19.86,19.86,0.00
5,1,0,1,0,1,0,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,16.80,16.80,16.80,16.80,16.80,0.00,16.82,16.82,16.82,16.82,16.82,0.00,13.69,13.69,13.69,13.69,13.69,0.00,12.66,12.66,12.66,12.66,12.66,0.00
6,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,2,0,1,0,13.52,13.52,13.52,13.52,13.52,0.00,15.03,15.03,15.03,15.03,15.03,0.00,12.84,12.84,12.84,12.84,12.84,0.00,11.91,11.91,11.91,11.91,11.91,0.00
7,0,0,0,1,1,0,1,0,1,1,1,2,0,1,1,0,1,2,1,1,1,1,1,2,1,0,0,11.82,11.82,11.82,11.82,11.82,0.00,14.10,14.10,14.10,14.10,14.10,0.00,12.42,12.42,12.42,12.42,12.42,0.00,11.53,11.53,11.53,11.53,11.53,0.00
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,11.82,11.82,11.82,11.82,11.82,0.00,14.10,14.10,14.10,14.10,14.10,0.00,12.42,12.42,12.42,12.42,12.42,0.00,11.53,11.53,11.53,11.53,11.53,0.00
9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,10.27,10.27,10.27,10.27,10.27,0.00,10.59,10.59,10.59,10.59,10.59,0.00,10.97,10.97,10.97,10.97,10.97,0.00,8.72,8.72,8.72,8.72,8.72,0.00
10,0,0,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,16.85,16.85,16.85,16.85,16.85,0.00,18.43,18.43,18.43,18.43,18.43,0.00,18.37,18.37,18.37,18.37,18.37,0.00,15.96,15.96,15.96,15.96,15.96,0.00
11,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,20.96,20.96,20.96,20.96,20.96,0.00,21.12,21.12,21.12,21.12,21.12,0.00,20.56,20.56,20.56,20.56,20.56,0.00,20.06,20.06,20.06,20.06,20.06,0.00
12,1,0,1,1,0,0,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,20.97,20.97,20.97,20.97,20.97,0.00,21.05,21.05,21.05,21.05,21.05,0.00,19.15,19.15,19.15,19.15,19.15,0.00,19.23,19.23,19.23,19.23,19.23,0.00
13,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,2,1,1,1,1,1,2,1,0,0,18.63,18.63,18.63,18.63,18.63,0.00,18.71,18.71,18.71,18.71,18.71,0.00,16.13,16.13,16.13,16.13,16.13,0.00,15.57,15.57,15.57,15.57,15.57,0.00
14,0,0,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,16.63,16.63,16.63,16.63,16.63,0.00,17.07,17.07,17.07,17.07,17.07,0.00,14.37,14.37,14.37,14.37,14.37,0.00,13.30,13.30,13.30,13.30,13.30,0.00
15,0,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,11.82,11.82,11.82,11.82,11.82,0.00,14.10,14.10,14.10,14.10,14.10,0.00,12.42,12.42,12.42,12.42,12.42,0.00,11.53,11.53,11.53,11.53,11.53,0.00
16,1,1,0,0,1,2,0,1,1,1,1,2,1,1,1,0,1,2,1,1,1,1,1,2,0,1,0,11.82,11.82,11.82,11.82,11.82,0.00,14.10,14.10,14.10,14.10,14.10,0.00,12.42,12.42,12.42,12.42,12.42,0.00,11.53,11.53,11.53,11.53,11.53,0.00
17,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,11.82,11.82,11.82,11.82,11.82,0.00,14.10,14.10,14.10,14.10,14.10,0.00,12.42,12.42,12.42,12.42,12.42,0.00,11.53,11.53,11.53,11.53,11.53,0.00
19,0,0,0,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,10.27,10.27,10.27,10.27,10.27,0.00,10.59,10.59,10.59,10.59,10.59,0.00,10.97,10.97,10.97,10.97,10.97,0.00,8.72,8.72,8.72,8.72,8.72,0.00
20,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,13.41,13.41,13.41,13.41,13.41,0.00,15.03,15.03,15.03,15.03,15.03,0.00,13.85,13.85,13.85,13.85,13.85,0.00,11.80,11.80,11.80,11.80,11.80,0.00
21,1,1,0,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,19.15,19.15,19.15,19.15,19.15,0.00,21.55,21.55,21.55,21.55,21.55,0.00,20.24,20.24,20.24,20.24,20.24,0.00,19.75,19.75,19.75,19.75,19.75,0.00
22,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,19.09,19.09,19.09,19.09,19.09,0.00,19.23,19.23,19.23,19.23,19.23,0.00,18.23,18.23,18.23,18.23,18.23,0.00,17.21,17.21,17.21,17.21,17.21,0.00
23,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,0,1,1,1,1,0,0,1,0,17.33,17.33,17.33,17.33,17.33,0.00,17.42,17.42,17.42,17.42,17.42,0.00,15.62,15.62,15.62,15.62,15.62,0.00,14.25,14.25,14.25,14.25,14.25,0.00
24,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,18.93,18.93,18.93,18.93,18.93,0.00,19.50,19.50,19.50,19.50,19.50,0.00,17.56,17.56,17.56,17.56,17.56,0.00,16.01,16.01,16.01,16.01,16.01,0.00
25,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,17.61,17.61,17.61,17.61,17.61,0.00,18.70,18.70,18.70,18.70,18.70,0.00,16.95,16.95,16.95,16.95,16.95,0.00,15.51,15.51,15.51,15.51,15.51,0.00
26,1,0,0,0,1,2,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,14.73,14.73,14.73,14.73,14.73,0.00,17.87,17.87,17.87,17.87,17.87,0.00,15.32,15.32,15.32,15.32,15.32,0.00,15.08,15.08,15.08,15.08,15.08,0.00
27,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,2,1,1,1,1,1,2,0,1,0,14.21,14.21,14.21,14.21,14.21,0.00,17.20,17.20,17.20,17.20,17.20,0.00,14.80,14.80,14.80,14.80,14.80,0.00,14.45,14.45,14.45,14.45,14.45,0.00
28,0,0,0,0,0,2,1,1,1,0,1,2,1,1,1,1,0,2,1,1,1,0,1,2,0,1,0,11.82,11.82,11.82,11.82,11.82,0.00,14.10,14.10,14.10,14.10,14.10,0.00,12.42,12.42,12.42,12.42,12.42,0.00,11.53,11.53,11.53,11.53,11.53,0.00
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,10.27,10.27,10.27,10.27,10.27,0.00,10.59,10.59,10.59,10.59,10.59,0.00,10.97,10.97,10.97,10.97,10.97,0.00,8.72,8.72,8.72,8.72,8.72,0.00
32,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,11.21,11.21,11.21,11.21,11.21,0.00,11.22,11.22,11.22,11.22,11.22,0.00,11.48,11.48,11.48,11.48,11.48,0.00,9.12,9.12,9.12,9.12,9.12,0.00
33,0,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,12.82,12.82,12.82,12.82,12.82,0.00,14.02,14.02,14.02,14.02,14.02,0.00,13.35,13.35,13.35,13.35,13.35,0.00,11.01,11.01,11.01,11.01,11.01,0.00
34,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,17.90,17.90,17.90,17.90,17.90,0.00,20.62,20.62,20.62,20.62,20.62,0.00,18.17,18.17,18.17,18.17,18.17,0.00,16.49,16.49,16.49,16.49,16.49,0.00
35,0,1,0,1,0,0,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,0,1,0,15.33,15.33,15.33,15.33,15.33,0.00,16.39,16.39,16.39,16.39,16.39,0.00,15.59,15.59,15.59,15.59,15.59,0.00,15.20,15.20,15.20,15.20,15.20,0.00
36,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,13.43,13.43,13.43,13.43,13.43,0.00,13.59,13.59,13.59,13.59,13.59,0.00,13.38,13.38,13.38,13.38,13.38,0.00,10.91,10.91,10.91,10.91,10.91,0.00
37,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,17.28,17.28,17.28,17.28,17.28,0.00,17.39,17.39,17.39,17.39,17.39,0.00,15.85,15.85,15.85,15.85,15.85,0.00,13.71,13.71,13.71,13.71,13.71,0.00
38,0,0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,19.45,19.45,19.45,19.45,19.45,0.00,20.19,20.19,20.19,20.19,20.19,0.00,18.40,18.40,18.40,18.40,18.40,0.00,16.73,16.73,16.73,16.73,16.73,0.00
39,0,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,20.07,20.07,20.07,20.07,20.07,0.00,21.34,21.34,21.34,21.34,21.34,0.00,19.14,19.14,19.14,19.14,19.14,0.00,17.55,17.55,17.55,17.55,17.55,0.00
40,1,1,1,1,0,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,21.40,21.40,21.40,21.40,21.40,0.00,26.45,26.45,26.45,26.45,26.45,0.00,21.94,21.94,21.94,21.94,21.94,0.00,23.13,23.13,23.13,23.13,23.13,0.00
41,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,17.61,17.61,17.61,17.61,17.61,0.00,21.55,21.55,21.55,21.55,21.55,0.00,17.86,17.86,17.86,17.86,17.86,0.00,18.02,18.02,18.02,18.02,18.02,0.00
42,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1,0,14.13,14.13,14.13,14.13,14.13,0.00,16.99,16.99,16.99,16.99,16.99,0.00,14.18,14.18,14.18,14.18,14.18,0.00,13.42,13.42,13.42,13.42,13.42,0.00
49,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,2,1,1,1,1,1,2,1,0,0,20.48,20.48,20.48,20.48,20.48,0.00,17.59,17.59,17.59,17.59,17.59,0.00,16.46,16.46,16.46,16.46,16.46,0.00,13.06,13.06,13.06,13.06,13.06,0.00
50,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,19.70,19.70,19.70,19.70,19.70,0.00,21.98,21.98,21.98,21.98,21.98,0.00,19.03,19.03,19.03,19.03,19.03,0.00,16.37,16.37,16.37,16.37,16.37,0.00
51,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.31,4.31,4.31,4.31,4.31,0.00,5.12,5.12,5.12,5.12,5.12,0.00,4.36,4.36,4.36,4.36,4.36,0.00,3.74,3.74,3.74,3.74,3.74,0.00
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0.02,0.02,0.02,0.02,0.02,0.00,0.02,0.02,0.02,0.02,0.02,0.00,0.02,0.02,0.02,0.02,0.02,0.00,0.02,0.02,0.02,0.02,0.02,0.00
53,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0.03,0.03,0.03,0.03,0.03,0.00,0.04,0.04,0.04,0.04,0.04,0.00,0.03,0.03,0.03,0.03,0.03,0.00,0.03,0.03,0.03,0.03,0.03,0.00
54,1,1,1,0,0,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,16.96,16.96,16.96,16.96,16.96,0.00,16.89,16.89,16.89,16.89,16.89,0.00,14.34,14.34,14.34,14.34,14.34,0.00,12.97,12.97,12.97,12.97,12.97,0.00
55,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,21.56,21.56,21.56,21.56,21.56,0.00,23.25,23.25,23.25,23.25,23.25,0.00,20.34,20.34,20.34,20.34,20.34,0.00,18.34,18.34,18.34,18.34,18.34,0.00
56,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,21.63,21.63,21.63,21.63,21.63,0.00,23.72,23.72,23.72,23.72,23.72,0.00,20.85,20.85,20.85,20.85,20.85,0.00,18.78,18.78,18.78,18.78,18.78,0.00
57,0,1,1,1,1,2,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,2,0,1,0,15.97,15.97,15.97,15.97,15.97,0.00,17.57,17.57,17.57,17.57,17.57,0.00,16.08,16.08,16.08,16.08,16.08,0.00,14.84,14.84,14.84,14.84,14.84,0.00
58,0,0,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,11.09,11.09,11.09,11.09,11.09,0.00,11.82,11.82,11.82,11.82,11.82,0.00,11.23,11.23,11.23,11.23,11.23,0.00,9.53,9.53,9.53,9.53,9.53,0.00
59,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,11.09,11.09,11.09,11.09,11.09,0.00,11.97,11.97,11.97,11.97,11.97,0.00,11.18,11.18,11.18,11.18,11.18,0.00,9.48,9.48,9.48,9.48,9.48,0.00
66,1,0,1,0,0,2,1,1,1,1,1,2,1,1,1,0,0,2,1,1,1,0,0,2,0,1,0,23.43,23.43,23.43,23.43,23.43,0.00,24.11,24.11,24.11,24.11,24.11,0.00,23.54,23.54,23.54,23.54,23.54,0.00,22.95,22.95,22.95,22.95,22.95,0.00
67,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,2,1,1,1,0,0,2,0,1,0,11.24,11.24,11.24,11.24,11.24,0.00,13.08,13.08,13.08,13.08,13.08,0.00,11.66,11.66,11.66,11.66,11.66,0.00,10.60,10.60,10.60,10.60,10.60,0.00
71,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,12.83,12.83,12.83,12.83,12.83,0.00,12.84,12.84,12.84,12.84,12.84,0.00,10.94,10.94,10.94,10.94,10.94,0.00,9.91,9.91,9.91,9.91,9.91,0.00
72,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,19.65,19.65,19.65,19.65,19.65,0.00,24.41,24.41,24.41,24.41,24.41,0.00,24.68,24.68,24.68,24.68,24.68,0.00,23.28,23.28,23.28,23.28,23.28,0.00
73,0,1,1,1,0,0,1,1,1,1,0,2,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,14.58,14.58,14.58,14.58,14.58,0.00,17.62,17.62,17.62,17.62,17.62,0.00,18.56,18.56,18.56,18.56,18.56,0.00,17.04,17.04,17.04,17.04,17.04,0.00
74,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,10.36,10.36,10.36,10.36,10.36,0.00,10.27,10.27,10.27,10.27,10.27,0.00,10.80,10.80,10.80,10.80,10.80,0.00,9.21,9.21,9.21,9.21,9.21,0.00
75,0,0,1,1,1,0,1,1,1,0,1,2,0,1,1,1,0,2,1,1,1,1,1,2,0,1,0,5.55,5.55,5.55,5.55,5.55,0.00,5.51,5.51,5.51,5.51,5.51,0.00,5.79,5.79,5.79,5.79,5.79,0.00,4.94,4.94,4.94,4.94,4.94,0.00
76,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3.23,3.23,3.23,3.23,3.23,0.00,3.21,3.21,3.21,3.21,3.21,0.00,3.37,3.37,3.37,3.37,3.37,0.00,2.88,2.88,2.88,2.88,2.88,0.00
85,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,19.59,19.59,19.59,19.59,19.59,0.00,25.16,25.16,25.16,25.16,25.16,0.00,22.89,22.89,22.89,22.89,22.89,0.00,18.92,18.92,18.92,18.92,18.92,0.00
86,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,9.24,9.24,9.24,9.24,9.24,0.00,11.25,11.25,11.25,11.25,11.25,0.00,10.88,10.88,10.88,10.88,10.88,0.00,8.61,8.61,8.61,8.61,8.61,0.00
87,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,2,1,0,1,0,0,2,1,0,0,6.12,6.12,6.12,6.12,6.12,0.00,6.52,6.52,6.52,6.52,6.52,0.00,6.29,6.29,6.29,6.29,6.29,0.00,5.90,5.90,5.90,5.90,5.90,0.00
88,1,1,1,1,0,2,1,1,1,1,1,2,1,1,1,1,1,0,0,1,1,0,1,2,1,0,0,9.59,9.59,9.59,9.59,9.59,0.00,10.05,10.05,10.05,10.05,10.05,0.00,9.78,9.78,9.78,9.78,9.78,0.00,9.15,9.15,9.15,9.15,9.15,0.00
89,0,0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,9.17,9.17,9.17,9.17,9.17,0.00,9.61,9.61,9.61,9.61,9.61,0.00,9.36,9.36,9.36,9.36,9.36,0.00,8.76,8.76,8.76,8.76,8.76,0.00
90,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,2,1,1,1,0,1,2,0,1,0,11.96,11.96,11.96,11.96,11.96,0.00,13.20,13.20,13.20,13.20,13.20,0.00,12.96,12.96,12.96,12.96,12.96,0.00,12.31,12.31,12.31,12.31,12.31,0.00
91,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,9.77,9.77,9.77,9.77,9.77,0.00,11.40,11.40,11.40,11.40,11.40,0.00,11.31,11.31,11.31,11.31,11.31,0.00,10.09,10.09,10.09,10.09,10.09,0.00
92,1,1,1,0,0,2,1,1,1,0,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,5.35,5.35,5.35,5.35,5.35,0.00,6.48,6.48,6.48,6.48,6.48,0.00,6.47,6.47,6.47,6.47,6.47,0.00,5.21,5.21,5.21,5.21,5.21,0.00
93,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0.26,0.26,0.26,0.26,0.26,0.00,0.26,0.26,0.26,0.26,0.26,0.00,0.27,0.27,0.27,0.27,0.27,0.00,0.23,0.23,0.23,0.23,0.23,0.00
106,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,2,0,1,0,20.18,20.18,20.18,20.18,20.18,0.00,28.41,28.41,28.41,28.41,28.41,0.00,25.03,25.03,25.03,25.03,25.03,0.00,21.15,21.15,21.15,21.15,21.15,0.00
107,1,0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,23.30,23.30,23.30,23.30,23.30,0.00,27.93,27.93,27.93,27.93,27.93,0.00,25.62,25.62,25.62,25.62,25.62,0.00,23.57,23.57,23.57,23.57,23.57,0.00
108,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,2,1,1,1,0,1,2,1,0,0,18.40,18.40,18.40,18.40,18.40,0.00,21.42,21.42,21.42,21.42,21.42,0.00,19.58,19.58,19.58,19.58,19.58,0.00,18.42,18.42,18.42,18.42,18.42,0.00
109,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,0,1,0,0,8.71,8.71,8.71,8.71,8.71,0.00,8.86,8.86,8.86,8.86,8.86,0.00,8.30,8.30,8.30,8.30,8.30,0.00,8.03,8.03,8.03,8.03,8.03,0.00
110,0,0,1,0,0,0,0,0,1,0,1,2,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,7.91,7.91,7.91,7.91,7.91,0.00,8.78,8.78,8.78,8.78,8.78,0.00,8.49,8.49,8.49,8.49,8.49,0.00,7.52,7.52,7.52,7.52,7.52,0.00
111,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,1,0,0,5.52,5.52,5.52,5.52,5.52,0.00,7.19,7.19,7.19,7.19,7.19,0.00,7.17,7.17,7.17,7.17,7.17,0.00,5.49,5.49,5.49,5.49,5.49,0.00
112,0,1,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,3.51,3.51,3.51,3.51,3.51,0.00,4.68,4.68,4.68,4.68,4.68,0.00,4.16,4.16,4.16,4.16,4.16,0.00,3.23,3.23,3.23,3.23,3.23,0.00
113,0,0,0,0,0,2,1,0,0,1,1,2,1,1,1,1,1,2,1,0,0,1,0,2,1,0,0,0.70,0.70,0.70,0.70,0.70,0.00,0.93,0.93,0.93,0.93,0.93,0.00,0.76,0.76,0.76,0.76,0.76,0.00,0.61,0.61,0.61,0.61,0.61,0.00
127,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,2,1,1,1,1,1,0,0,1,0,14.35,14.35,14.35,14.35,14.35,0.00,14.73,14.73,14.73,14.73,14.73,0.00,13.23,13.23,13.23,13.23,13.23,0.00,12.41,12.41,12.41,12.41,12.41,0.00
128,0,1,0,0,0,2,1,1,1,1,0,2,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,18.84,18.84,18.84,18.84,18.84,0.00,20.12,20.12,20.12,20.12,20.12,0.00,17.56,17.56,17.56,17.56,17.56,0.00,16.10,16.10,16.10,16.10,16.10,0.00
129,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,2,0,1,0,21.04,21.04,21.04,21.04,21.04,0.00,24.94,24.94,24.94,24.94,24.94,0.00,22.86,22.86,22.86,22.86,22.86,0.00,21.45,21.45,21.45,21.45,21.45,0.00
130,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,4.05,4.05,4.05,4.05,4.05,0.00,4.13,4.13,4.13,4.13,4.13,0.00,3.50,3.50,3.50,3.50,3.50,0.00,3.48,3.48,3.48,3.48,3.48,0.00
131,0,0,0,0,1,2,1,0,0,0,0,2,1,0,1,0,1,2,0,1,0,0,0,2,1,0,0,2.74,2.74,2.74,2.74,2.74,0.00,2.43,2.43,2.43,2.43,2.43,0.00,1.86,1.86,1.86,1.86,1.86,0.00,2.15,2.15,2.15,2.15,2.15,0.00
